#,編號,服務中心,類別,名稱,上課日期,時間,逢星期,堂數,戶外上課,上課地點,課室,上限,收費,導師,操作
151,SIC250187,山景服務處|(S),興趣班組|(IC),兒童珠心算A|(SIC250187),2025-07-12 (開始)|2025-08-02 (結束),13:00 (開始)|14:00 (結束),六,4 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),10 人,$400.00 (課程)|$500.00 (非會員)|,,學生數: 3
152,SIC250186,山景服務處|(S),興趣班組|(IC),(退款/轉班)(長者)八段錦(優惠課程)|(SIC250186),2025-10-15 (開始)|2025-11-26 (結束),15:00 (開始)|16:00 (結束),三,6 (堂數)|1 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$180.00 (課程)|$280.00 (非會員)|,,學生數: 2
153,SIC250185,山景服務處|(S),興趣班組|(IC),健體八段錦(優惠課程)|(SIC250185),2025-11-26 (開始)|2025-12-31 (結束),17:00 (開始)|18:00 (結束),三,6 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$200.00 (課程)|$300.00 (非會員)|,,學生數: 0
154,SIC250184,山景服務處|(S),興趣班組|(IC),成人拉丁舞|(SIC250184),2025-07-15 (開始)|2025-09-02 (結束),20:30 (開始)|21:45 (結束),二,8 (堂數)|0 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),20 人,$400.00 (課程)|$500.00 (非會員)|,,學生數: 8
155,SIC250183,山景服務處|(S),興趣班組|(IC),(個別)成人拉丁舞|(SIC250183),2025-06-03 (開始)|2025-07-08 (結束),20:30 (開始)|21:45 (結束),二,5 (堂數)|1 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),1 人,$250.00 (課程)|$350.00 (非會員)|,,學生數: 1
156,SIC250182,山景服務處|(S),興趣班組|(IC),初級瑜伽課程A(三)|(SIC250182),2025-07-23 (開始)|2025-09-10 (結束),09:15 (開始)|10:30 (結束),三,8 (堂數)|0 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),20 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 10
157,SIC250181,山景服務處|(S),興趣班組|(IC),兒童綜合畫班|(SIC250181),2025-07-21 (開始)|2025-09-08 (結束),16:30 (開始)|17:30 (結束),一,6 (堂數)|2 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),8 人,$450.00 (課程)|$550.00 (非會員)|,,學生數: 2
158,SIC250180,山景服務處|(S),興趣班組|(IC),府內派42式簡化太極拳|(SIC250180),2025-07-15 (開始)|2025-08-07 (結束),09:00 (開始)|10:00 (結束),"二, 四",8 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$200.00 (課程)|$300.00 (非會員)|,,學生數: 19
159,SIC250179,山景服務處|(S),興趣班組|(IC),初級瑜伽課程H(四)|(SIC250179),2025-08-14 (開始)|2025-10-02 (結束),19:15 (開始)|20:30 (結束),四,8 (堂數)|0 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),20 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 16
160,SIC250178,山景服務處|(S),興趣班組|(IC),輕鬆健體瑜伽課程E(三)|(SIC250178),2025-07-30 (開始)|2025-09-17 (結束),20:30 (開始)|21:45 (結束),三,8 (堂數)|0 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),10 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 7
161,SIC250177,山景服務處|(S),興趣班組|(IC),輕鬆健體瑜伽課程I(二)|(SIC250177),2025-08-05 (開始)|2025-09-23 (結束),19:15 (開始)|20:30 (結束),二,8 (堂數)|0 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),10 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 7
162,SIC250176,山景服務處|(S),興趣班組|(IC),(個別)養生佛掌拳班(長者)|(SIC250176),2025-07-08 (開始)|2025-09-30 (結束),08:00 (開始)|09:00 (結束),二,12 (堂數)|1 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),1 人,$240.00 (課程)|$340.00 (非會員)|,,學生數: 1
163,SIC250175,山景服務處|(S),興趣班組|(IC),兒童武術班 |(SIC250175),2025-07-08 (開始)|2025-07-29 (結束),17:30 (開始)|18:30 (結束),二,4 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),10 人,$300.00 (課程)|$400.00 (非會員)|,,學生數: 4
164,SIC250174,山景服務處|(S),興趣班組|(IC),K3(只限仁濟幼稚園)兒童多元美勞班|(SIC250174),2025-07-15 (開始)|2025-08-19 (結束),16:30 (開始)|17:30 (結束),二,5 (堂數)|1 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),12 人,$475.00 (課程)|$575.00 (非會員)|,,學生數: 0
165,SIC250173,山景服務處|(S),興趣班組|(IC),K3(只限仁濟幼稚園)兒童跆拳道課程|(SIC250173),2025-07-04 (開始)|2025-08-22 (結束),16:30 (開始)|17:30 (結束),五,5 (堂數)|3 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$300.00 (課程)|$400.00 (非會員)|,,學生數: 1
166,SIC250172,山景服務處|(S),興趣班組|(IC),K3(只限仁濟幼稚園)兒童中國舞課程|(SIC250172),2025-07-07 (開始)|2025-08-18 (結束),16:30 (開始)|17:30 (結束),一,6 (堂數)|1 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),12 人,$480.00 (課程)|$580.00 (非會員)|,,學生數: 1
167,SIC250171,山景服務處|(S),興趣班組|(IC),K1-K2(只限仁濟幼稚園)兒童多元美勞班|(SIC250171),2025-07-15 (開始)|2025-11-04 (結束),16:30 (開始)|17:30 (結束),二,10 (堂數)|7 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),10 人,"$950.00 (課程)|$1,050.00 (非會員)|",,學生數: 8
168,SIC250170,山景服務處|(S),興趣班組|(IC),K1-K2(只限仁濟幼稚園)兒童跆拳道課程|(SIC250170),2025-07-04 (開始)|2025-10-17 (結束),16:30 (開始)|17:30 (結束),五,9 (堂數)|7 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$540.00 (課程)|$640.00 (非會員)|,,學生數: 13
169,SIC250169,山景服務處|(S),興趣班組|(IC),K1-K2(只限仁濟幼稚園)兒童中國舞課程|(SIC250169),2025-07-07 (開始)|2025-10-20 (結束),16:30 (開始)|17:30 (結束),一,11 (堂數)|5 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),12 人,$880.00 (課程)|$980.00 (非會員)|,,學生數: 10
